Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC,English_Name
sp,32430,Hirundo nigrita,02.06.2008,,Hirundo nigrita,25276,White-bibbed Swallow
sp,32440,Petrochelidon preussi,02.06.2008,,Hirundo preussi,25335,Preuss's Cliff Swallow
sp,32450,Cecropis semirufa,02.06.2008,,Hirundo semirufa,25326,Red-breasted Swallow
sp,32460,Cecropis senegalensis,02.06.2008,,Hirundo senegalensis,25330,Mosque Swallow
sp,32470,Hyliota flavigaster,02.06.2008,,Hyliota flavigaster,28845,Yellow-bellied Hyliota
sp,32480,Hyliota violacea,02.06.2008,,Hyliota violacea,28856,Violet-backed Hyliota
sp,32490,Hypergerus atriceps,02.06.2008,,Hypergerus atriceps,26875,Oriole Warbler
sp,32500,Illadopsis cleaveri,02.06.2008,,Illadopsis cleaveri,28189,Blackcap Illadopsis
sp,32510,Illadopsis fulvescens,02.06.2008,,Illadopsis fulvescens,28171,Brown Illadopsis
sp,32520,Illadopsis rufipennis,18.10.2024,Excludes Illadopsis distans,Illadopsis rufipennis,28179,Pale-breasted Illadopsis
sp,32530,Indicator exilis,02.06.2008,,Indicator exilis,11623,Least Honeyguide
sp,32540,Indicator indicator,02.06.2008,,Indicator indicator,11652,Greater Honeyguide
sp,32550,Indicator maculatus,02.06.2008,,Indicator maculatus,11642,Spotted Honeyguide
sp,32560,Indicator minor,02.06.2008,,Indicator minor,11629,Lesser Honeyguide
sp,32570,Indicator willcocksi,02.06.2008,,Indicator willcocksi,11615,Willcocks's Honeyguide
sp,32580,Ispidina lecontei,02.06.2008,,Ispidina lecontei,10593,African Dwarf Kingfisher
sp,32590,Ispidina picta,02.06.2008,,Ispidina picta,10597,African Pygmy Kingfisher
o,32600,Obsolete code,02.06.2008,Duplicated species; use 01020,Ixobrychus sturmii,NA,NA
sp,32610,Ixonotus guttatus,02.06.2008,,Ixonotus guttatus,24547,Spotted Greenbul
sp,32620,Jynx ruficollis,02.06.2008,,Jynx ruficollis,11662,Red-throated Wryneck
sp,32630,Kakamega poliothorax,02.06.2008,,Kakamega poliothorax,28785,Grey-chested Babbler
sp,32640,Kaupifalco monogrammicus,02.06.2008,,Kaupifalco monogrammicus,8423,Lizard Buzzard
sp,32650,Turdoides gilberti,02.06.2008,,Kupeornis gilberti,28572,White-throated Mountain Babbler
sp,32660,Lagonosticta larvata,07.11.2024,Extend of code changed after the lump with Lagonosticta vinacea,Lagonosticta larvata,33771,Black-faced Firefinch
sp,32670,Lagonosticta rara,02.06.2008,,Lagonosticta rara,33762,Black-bellied Firefinch
sp,32680,Lagonosticta rubricata,02.06.2008,,Lagonosticta rubricata,33746,African Firefinch
sp,32690,Lagonosticta rufopicta,02.06.2008,,Lagonosticta rufopicta,33765,Bar-breasted Firefinch
sp,32700,Lagonosticta sanguinodorsalis,02.06.2008,,Lagonosticta sanguinodorsalis,33760,Rock Firefinch
sp,32710,Lamprotornis caudatus,02.06.2008,,Lamprotornis caudatus,30042,Long-tailed Glossy Starling
sp,32720,Lamprotornis chalcurus,02.06.2008,,Lamprotornis chalcurus,30026,Bronze-tailed Starling
sp,32730,Lamprotornis chalybaeus,02.06.2008,,Lamprotornis chalybaeus,30015,Greater Blue-eared Starling
ssp,32740,Lamprotornis chloropterus chloropterus,26.03.2025,,Lamprotornis chloropterus,30022,NA
sp,32741,Lamprotornis chloropterus,26.03.2025,,,30021,Lesser Blue-eared Starling
ssp,32742,Lamprotornis chloropterus elisabeth,26.03.2025,,,30025,NA
sp,32750,Lamprotornis pulcher,02.06.2008,,Lamprotornis pulcher,30063,Chestnut-bellied Starling
sp,32760,Hylopsar purpureiceps,02.06.2008,,Lamprotornis purpureiceps,30009,Purple-headed Starling
sp,32770,Lamprotornis purpureus,02.06.2008,,Lamprotornis purpureus,30036,Purple Starling
sp,32780,Lamprotornis splendidus,02.06.2008,,Lamprotornis splendidus,30029,Splendid Starling
sp,32790,Laniarius atrococcineus,02.06.2008,,Laniarius atrococcineus,20271,Crimson-breasted Shrike
sp,32800,Laniarius atroflavus,02.06.2008,,Laniarius atroflavus,20272,Yellow-breasted Boubou
sp,32810,Laniarius barbarus,02.06.2008,,Laniarius barbarus,20265,Yellow-crowned Gonolek
sp,32820,Laniarius erythrogaster,02.06.2008,,Laniarius erythrogaster,20269,Black-headed Gonolek
sp,32830,Laniarius fuelleborni,02.06.2008,,Laniarius fuelleborni,20221,Fülleborn's Boubou
sp,32840,Laniarius leucorhynchus,02.06.2008,,Laniarius leucorhynchus,20213,Lowland Sooty Boubou
sp,32850,Laniarius luehderi,02.06.2008,,Laniarius luehderi,20228,Lühder's Bushshrike
o,32860,Obsolete code,02.06.2008,Duplicated species; use 32810,Laniarus barbarus,NA,NA
sp,32870,Lanius collaris,18.10.2024,Excludes Lanius humeralis,Lanius collaris,22598,Southern Fiscal
sp,32880,Lanius excubitoroides,02.06.2008,,Lanius excubitoroides,22539,Grey-backed Fiscal
sp,32890,Lanius gubernator,02.06.2008,,Lanius gubernator,22592,Emin's Shrike
sp,32900,Lanius mackinnoni,02.06.2008,,Lanius mackinnoni,22593,Mackinnon's Shrike
o,32910,Obsolete code,02.06.2008,Duplicated species; use 15203,Lanius meridionalis,NA,NA
sp,32920,Linurgus olivaceus,02.06.2008,,Linurgus olivaceus,34496,Oriole Finch
o,32930,Obsolete code,02.06.2008,Duplicated species; use 16190,Lonchura cantans,NA,NA
sp,32940,Lophaetus occipitalis,02.06.2008,,Lophaetus occipitalis,8348,Long-crested Eagle
sp,32950,Pogonornis bidentatus,02.06.2008,,Lybius bidentatus,11595,Double-toothed Barbet
sp,32960,Lybius leucocephalus,02.06.2008,,Lybius leucocephalus,11562,White-headed Barbet
sp,32970,Lybius vieilloti,02.06.2008,,Lybius vieilloti,11558,Vieillot's Barbet
sp,32980,Macheiramphus alcinus,02.06.2008,,Macheiramphus alcinus,8307,Bat Hawk
sp,32990,Caprimulgus longipennis,02.06.2008,,Macrodipteryx longipennis,2139,Standard-winged Nightjar
sp,33000,Caprimulgus vexillarius,02.06.2008,,Macrodipteryx vexillarius,2140,Pennant-winged Nightjar
sp,33010,Macrosphenus flavicans,02.06.2008,,Macrosphenus flavicans,25390,Yellow Longbill
sp,33020,Macrosphenus kempi,02.06.2008,,Macrosphenus kempi,25393,Kemp's Longbill
sp,33030,Malaconotus blanchoti,02.06.2008,,Malaconotus blanchoti,20099,Grey-headed Bushshrike
sp,33040,Malaconotus cruentus,02.06.2008,,Malaconotus cruentus,20092,Fiery-breasted Bushshrike
sp,33050,Malaconotus gladiator,02.06.2008,,Malaconotus gladiator,20110,Green-breasted Bushshrike
sp,33060,Chlorophoneus sulfureopectus,02.06.2008,,Malaconotus sulfureopecous,20130,Orange-breasted Bushshrike
sp,33070,Malimbus erythrogaster,02.06.2008,,Malimbus erythrogaster,33206,Red-bellied Malimbe
sp,33080,Malimbus ibadanensis,02.06.2008,,Malimbus ibadanensis,33197,Ibadan Malimbe
sp,33090,Malimbus malimbicus,02.06.2008,,Malimbus malimbicus,33209,Crested Malimbe
sp,33100,Malimbus racheliae,02.06.2008,,Malimbus racheliae,33192,Rachel's Malimbe
sp,33110,Malimbus rubricollis,02.06.2008,,Malimbus rubricollis,33199,Red-headed Malimbe
sp,33120,Malimbus scutatus,02.06.2008,,Malimbus scutatus,33194,Red-vented Malimbe
sp,33130,Mandingoa nitidula,02.06.2008,,Mandingoa nitidula,33536,Green Twinspot
sp,33140,Megaceryle maxima,02.06.2008,,Megaceryle maxima,10760,Giant Kingfisher
sp,33150,Melichneutes robustus,02.06.2008,,Melichneutes robustus,11653,Lyre-tailed Honeyguide
o,33160,Obsolete code,02.06.2008,Duplicated species; use 02660,Melierax gabar,NA,NA
sp,33170,Melocichla mentalis,02.06.2008,,Melocichla mentalis,25376,Moustached Grass Warbler
sp,33180,Merops breweri,02.06.2008,,Merops breweri,10848,Black-headed Bee-eater
sp,33190,Merops bulocki,02.06.2008,,Merops bulocki,10876,Red-throated Bee-eater
