Totaal,Handsoorten,,"Terug-
vangst",Landen,,Kleurring,Locaties,Vangmethoden,Aantal zelf geringd,,,,,
,80,,,4,,5,8,8,,21,uniek,71,5,21
3739,,,942,,,200,,,1718,76,door mij,1718,91,76
Datum,Soort,"Nieuwe
projectsoort","Terug-
vangst",Buitenland,Ringnummer,Kleurring,Locatie,Vangmethode,Ringer,"Zoönose
door mij",Bijzonderheid,Ringsoorten,Kleurring,Zoönose
,,,j,land,,kleurcode,,,,j,,,,
06-06-2021,Tjiftjaf,4,j,,ARX366,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Roodborst,5,j,,BJU7459,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Zanglijster,5,,,L588707,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Staartmees,5,,,ARX479,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Winterkoning,5,j,,APL786,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Zanglijster,6,j,,L588693,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Tuinfluiter,6,j,,BJU7583,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Staartmees,6,,,ARX480,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Pimpelmees,7,,,L588714,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Zanglijster,7,j,,L588603,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Merel,10,j,,L588703,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Koolmees,10,j,,BL92787,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Grasmus,11,j,,BL92799,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Grasmus,12,j,,BJU7912,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Zwartkop,18,,,L588715,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Zwartkop,19,j,,BJU7733,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Zwartkop,20,,,BJU7731,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Zwartkop,21,,,BL92816,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Zwartkop,22,,,BL92817,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Zwartkop,23,,,BL92819,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Koolmees,11,,,BL92867,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Koolmees,,
23-06-2021,Zwartkop,24,,,BL92884,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Zwartkop,,
23-06-2021,Grauwe Vliegenvanger,1,,,BL92883,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Bonte Vliegenvanger,1,,,BL92887,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Roodborst,6,,,BL92865,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,Eerste zelf geringd,Roodborst,,
23-06-2021,Boomklever,3,,,V982124,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Goudvink,4,,,V982123,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Boomkruiper,4,,,ARX495,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Geelgors,4,j,,V981907,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Tjiftjaf,5,,,ARX486,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Goudvink,5,j,,V982116,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Roodborst,7,,,BL92862,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Tjiftjaf,6,,,ARX487,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Winterkoning,6,,,ARX488,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Goudvink,6,,,V982125,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Roodborst,8,,,BL92863,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Winterkoning,7,,,ARX489,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Tjiftjaf,7,,,ARX492,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Tuinfluiter,7,,,BL92886,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Roodborst,9,j,,BJ47459,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Zanglijster,8,,,L588714,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Winterkoning,8,,,ARX490,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Tjiftjaf,8,j,,ARX469,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Pimpelmees,8,j,,BJ47965,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Roodborst,10,,,BL92864,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Winterkoning,9,,,ARX491,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Tjiftjaf,9,,,ARX493,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Pimpelmees,9,,,BL92879,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Roodborst,11,j,,BL92044,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Tjiftjaf,10,,,ARX494,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Pimpelmees,10,,,BL92880,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Winterkoning,10,,,ARX484,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Koolmees,12,,,BL92868,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Roodborst,12,j,,BL92841,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Roodborst,,
23-06-2021,Pimpelmees,11,,,BL92881,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Merel,11,j,,L588703,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Koolmees,13,,,BL92869,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Pimpelmees,12,,,BL92821,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Roodborst,13,,,BL92889,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Roodborst,,
23-06-2021,Koolmees,14,,,BL92870,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Koolmees,,
23-06-2021,Grasmus,13,,,BL92878,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Koolmees,15,,,BL92871,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Koolmees,16,,,BL92872,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Koolmees,17,,,BL92873,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Koolmees,,
23-06-2021,Koolmees,18,,,BL92874,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Koolmees,19,,,BL92875,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Koolmees,,
23-06-2021,Koolmees,20,,,BL92876,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Koolmees,21,,,BL92877,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Koolmees,22,,,BL92882,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Koolmees,,
23-06-2021,Zwartkop,25,j,,BL92015,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Zwartkop,26,j,,BJ47819,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Zwartkop,,
23-06-2021,Zwartkop,27,,,BL92866,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
